model,role,feature_groups,missing_handling,scaling,key_hyperparams,sensitivity_outliers,interpretability,advantages,risks,train_time
Ridge Regression,Baseline,Raw + electrical features (scaled),Impute median + indicators,Required,alpha,High – affected by sensor spikes,High – coefficient interpretation,"Fast, interpretable, stable",Cannot capture nonlinear relationships,Very fast (<1s)
Elastic Net Regression,Baseline,All engineered features (scaled),Impute median + indicators,Required,"alpha, l1_ratio",High,High – sparse coefficients,"Feature selection via L1, handles multicollinearity",Linear only,Very fast (<1s)
Huber Regressor,Baseline,Raw + electrical features (scaled),Impute median,Required,"epsilon, alpha",Low – robust to outliers,High,"Robust to sensor spikes, interpretable","Linear only, less accurate if relationships are nonlinear",Very fast (<1s)
Random Forest Regressor,Primary candidate,All raw + engineered features,Impute median,Not required,"n_estimators, max_depth, min_samples_leaf, max_features",Moderate – tree splits are robust,Moderate – feature importance,"Captures interactions, robust","Can overfit, doesn't extrapolate well",Fast (~3-5s)
Extra Trees Regressor,Primary candidate,All raw + sensor features,Impute median,Not required,"n_estimators, max_depth, min_samples_leaf",Moderate,Moderate,"More diverse than RF, faster training",Similar to RF risks,Fast (~3-5s)
HistGradientBoostingRegressor,Primary candidate,All features including raw NaN,Native NaN support,Not required,"max_iter, max_depth, learning_rate, l2_regularization",Moderate – MAE loss option,Low-moderate,"Native NaN, fast, handles nonlinearity",Needs tuning to avoid overfitting,Fast (~5-8s)
CatBoost Regressor,Primary candidate,All raw features,Native NaN support,Not required,"iterations, depth, learning_rate, l2_leaf_reg",Moderate – MAE/Quantile loss options,Low-moderate – SHAP available,"Excellent defaults, ordered boosting",Slower,Moderate (~10-20s)
XGBoost Regressor,Primary candidate,All engineered features,Native NaN support,Not required,"n_estimators, max_depth, learning_rate, subsample, colsample_bytree",Moderate,Low-moderate,"Flexible, well-proven",Requires tuning,Fast (~5-10s)
LightGBM Regressor,Primary candidate,All features,Native NaN support,Not required,"n_estimators, num_leaves, learning_rate, min_child_samples",Moderate,Low-moderate,"Fastest GBM, good accuracy",Can overfit with many leaves,Very fast (~2-5s)
Weighted Ensemble (Ridge + CatBoost + LightGBM),Ensemble candidate,Model-specific optimal sets,Delegated to base models,Delegated,"Ensemble weights, base model hyperparameters",Low – diversity helps,Low,Combines linear + nonlinear strengths,"Complexity, potential overfitting of weights",Moderate (~30-60s)
